Code,Description
1,"8th grade or less"
2,"9 - 12th grade, no diploma"
3,"high school graduate or GED completed"
4,"some college credit, but no degree"
5,"Associate degree"
6,"Bachelor's degree"
7,"Master's degree"
8,"Doctorate or professional degree"
9,Unknown
