Code,Description
0,"Other races"
1,White
2,Black
3,"American Indian (includes Aleuts and Eskimos)"
4,Chinese
5,Japanese
6,"Hawaiian (includes Part-Hawaiian)"
7,Filipino
8,"Other Asian or Pacific Islander"
18,"Asian Indian"
28,Korean
38,Samoan
48,Vietnamese
58,Guamanian
68,"Other Asian or Pacific Islander in areas reporting codes 18-58"
78,"Combined other Asian or Pacific Islander, includes codes 18-68 for areas that do not report them separately"
