Code,Description
1,Mexican
2,"Puerto Rican"
3,Cuban
4,"Central or South American"
5,"Other or unknown Hispanic"
6,"Non-Hispanic white"
7,"Non-Hispanic black"
8,"Non-Hispanic other races"
9,"Hispanic origin unknown"
